Date,HomeTeam,AwayTeam,FTHG,FTAG
04/04/2021,Sandhausen,Wurzburger Kickers,1,0
05/04/2021,St Pauli,Braunschweig,2,0
06/04/2021,Heidenheim,Holstein Kiel,1,0
08/04/2021,Hannover,Wurzburger Kickers,1,2
09/04/2021,Hamburg,Darmstadt,1,2
10/04/2021,Erzgebirge Aue,St Pauli,1,3
10/04/2021,Paderborn,Bochum,3,0
11/04/2021,Hannover,Heidenheim,1,3
11/04/2021,Osnabruck,Braunschweig,0,4
11/04/2021,Wurzburger Kickers,Nurnberg,1,1
14/04/2021,Osnabruck,Regensburg,0,1
16/04/2021,Braunschweig,Paderborn,0,0
16/04/2021,Darmstadt,Greuther Furth,2,2
17/04/2021,St Pauli,Wurzburger Kickers,4,0
18/04/2021,Bochum,Hannover,4,3
18/04/2021,Osnabruck,Fortuna Dusseldorf,0,3
18/04/2021,Regensburg,Heidenheim,0,3
20/04/2021,Erzgebirge Aue,Nurnberg,0,1
20/04/2021,Greuther Furth,Braunschweig,3,0
20/04/2021,Wurzburger Kickers,Darmstadt,1,3
21/04/2021,Fortuna Dusseldorf,St Pauli,2,0
21/04/2021,Hannover,Regensburg,3,1
21/04/2021,Heidenheim,Bochum,0,2
21/04/2021,Paderborn,Osnabruck,2,2
22/04/2021,Sandhausen,Hamburg,2,1
23/04/2021,Braunschweig,Erzgebirge Aue,0,2
23/04/2021,Karlsruhe,Wurzburger Kickers,2,2
24/04/2021,Nurnberg,Heidenheim,3,1
24/04/2021,Osnabruck,Holstein Kiel,1,3
24/04/2021,Paderborn,Fortuna Dusseldorf,2,1
25/04/2021,Regensburg,Hamburg,1,1
25/04/2021,Sandhausen,Hannover,4,2
25/04/2021,St Pauli,Greuther Furth,2,1
26/04/2021,Karlsruhe,Erzgebirge Aue,0,0
26/04/2021,Darmstadt,Bochum,3,1
27/04/2021,Nurnberg,Holstein Kiel,1,1
28/04/2021,Greuther Furth,Sandhausen,3,2
29/04/2021,Hamburg,Karlsruhe,1,1
03/05/2021,Fortuna Dusseldorf,Karlsruhe,3,2
04/05/2021,Holstein Kiel,Sandhausen,2,0
07/05/2021,Hannover,Darmstadt,1,2
07/05/2021,Holstein Kiel,St Pauli,4,0
08/05/2021,Fortuna Dusseldorf,Braunschweig,2,2
08/05/2021,Greuther Furth,Karlsruhe,2,2
08/05/2021,Wurzburger Kickers,Osnabruck,1,3
09/05/2021,Bochum,Regensburg,5,1
09/05/2021,Erzgebirge Aue,Paderborn,3,8
09/05/2021,Heidenheim,Sandhausen,2,1
10/05/2021,Holstein Kiel,Hannover,1,0
10/05/2021,Hamburg,Nurnberg,5,2
13/05/2021,Holstein Kiel,Regensburg,3,2
16/05/2021,Braunschweig,Wurzburger Kickers,1,2
16/05/2021,Darmstadt,Heidenheim,5,1
16/05/2021,Fortuna Dusseldorf,Erzgebirge Aue,3,0
16/05/2021,Karlsruhe,Holstein Kiel,3,2
16/05/2021,Nurnberg,Bochum,1,1
16/05/2021,Osnabruck,Hamburg,3,2
16/05/2021,Paderborn,Greuther Furth,2,4
16/05/2021,Sandhausen,Regensburg,2,0
16/05/2021,St Pauli,Hannover,1,2
23/05/2021,Bochum,Sandhausen,3,1
23/05/2021,Erzgebirge Aue,Osnabruck,2,1
23/05/2021,Greuther Furth,Fortuna Dusseldorf,3,2
23/05/2021,Hamburg,Braunschweig,4,0
23/05/2021,Hannover,Nurnberg,1,2
23/05/2021,Heidenheim,Karlsruhe,1,2
23/05/2021,Holstein Kiel,Darmstadt,2,3
23/05/2021,Regensburg,St Pauli,3,0
23/05/2021,Wurzburger Kickers,Paderborn,1,1
