date,home_team,home_score,away_team,away_score
2011-06-09,U. De Chile,0,U. Catolica,2
2011-06-05,U. Catolica,1,Union La Calera,0
2011-06-04,U. De Chile,7,O'Higgins,1
2011-06-02,Union La Calera,2,U. Catolica,1
2011-06-01,O'Higgins,0,U. De Chile,1
2011-05-29,U. Espanola,0,Union La Calera,0
2011-05-29,U. Catolica,1,Colo Colo,1
2011-05-28,U. De Chile,1,San Felipe,1
2011-05-28,Palestino,0,O'Higgins,3
2011-05-26,Colo Colo,2,U. Catolica,4
2011-05-26,Union La Calera,1,U. Espanola,0
2011-05-25,O'Higgins,1,Palestino,1
2011-05-25,San Felipe,1,U. De Chile,2
2011-05-22,La Serena,2,U. Catolica,2
2011-05-22,Nublense,2,Colo Colo,3
2011-05-22,S. Morning,1,Cobreloa,1
2011-05-22,S. Wanderers,1,Union La Calera,1
2011-05-21,Deportes Iquique,1,Cobresal,1
2011-05-21,Huachipato,2,O'Higgins,1
2011-05-21,San Felipe,2,Palestino,3
2011-05-21,U. De Chile,2,A. Italiano,1
2011-05-20,U. Espanola,1,U. De Concepcion,1
2011-05-15,A. Italiano,1,U. Espanola,2
2011-05-15,Cobreloa,3,La Serena,3
2011-05-15,Cobresal,1,San Felipe,2
2011-05-15,U. Catolica,2,U. De Chile,2
2011-05-15,Union La Calera,2,Nublense,0
2011-05-14,Colo Colo,1,Deportes Iquique,1
2011-05-14,O'Higgins,1,S. Wanderers,1
2011-05-14,Palestino,1,Huachipato,0
2011-05-13,U. De Concepcion,2,S. Morning,1
2011-05-08,Colo Colo,5,O'Higgins,1
2011-05-08,Nublense,0,A. Italiano,0
2011-05-08,San Felipe,1,U. De Concepcion,3
2011-05-08,S. Morning,0,Palestino,4
2011-05-07,Deportes Iquique,1,Union La Calera,0
2011-05-07,U. Catolica,0,U. Espanola,0
2011-05-07,S. Wanderers,2,Cobreloa,0
2011-05-07,Huachipato,1,U. De Chile,3
2011-05-06,La Serena,2,Cobresal,1
2011-04-30,Union La Calera,0,Huachipato,0
2011-04-30,U. De Concepcion,1,U. Catolica,2
2011-04-30,Cobreloa,1,San Felipe,1
2011-04-30,Cobresal,1,S. Morning,4
2011-04-30,U. De Chile,2,Colo Colo,1
2011-04-30,Palestino,1,Nublense,0
2011-04-29,U. Espanola,4,La Serena,3
2011-04-29,O'Higgins,0,Deportes Iquique,1
2011-04-28,A. Italiano,4,S. Wanderers,0
2011-04-24,S. Morning,0,Colo Colo,1
2011-04-24,San Felipe,0,La Serena,1
2011-04-23,Deportes Iquique,2,A. Italiano,0
2011-04-23,U. Catolica,5,Cobresal,2
2011-04-23,Huachipato,1,Cobreloa,1
2011-04-23,U. De Chile,0,Palestino,0
2011-04-23,S. Wanderers,2,U. De Concepcion,1
2011-04-23,O'Higgins,2,Union La Calera,0
2011-04-21,Nublense,0,U. Espanola,5
2011-04-17,U. Espanola,4,Huachipato,2
2011-04-17,Cobreloa,1,Cobresal,0
2011-04-17,Colo Colo,1,U. Catolica,1
2011-04-17,La Serena,3,S. Wanderers,1
2011-04-16,A. Italiano,1,O'Higgins,3
2011-04-16,U. De Concepcion,1,Nublense,0
2011-04-16,Palestino,1,Deportes Iquique,0
2011-04-16,Union La Calera,0,U. De Chile,2
2011-04-15,San Felipe,3,S. Morning,1
2011-04-10,U. Catolica,2,Cobreloa,0
2011-04-10,Cobresal,4,U. De Concepcion,3
2011-04-10,Nublense,1,S. Morning,1
2011-04-10,O'Higgins,0,U. Espanola,0
2011-04-09,Deportes Iquique,2,U. De Chile,2
2011-04-09,Colo Colo,4,La Serena,1
2011-04-09,Huachipato,1,A. Italiano,1
2011-04-09,Palestino,1,Union La Calera,1
2011-04-08,S. Wanderers,1,San Felipe,2
2011-04-03,U. De Chile,4,S. Wanderers,1
2011-04-03,A. Italiano,2,Colo Colo,1
2011-04-03,Cobreloa,1,Palestino,0
2011-04-03,Cobresal,1,Nublense,2
2011-04-03,S. Morning,1,Huachipato,1
2011-04-02,La Serena,0,Deportes Iquique,0
2011-04-02,U. De Concepcion,0,O'Higgins,1
2011-04-02,San Felipe,1,U. Catolica,2
2011-03-31,U. Espanola,3,Union La Calera,1
2011-03-27,Colo Colo,1,Huachipato,2
2011-03-27,O'Higgins,1,Palestino,2
2011-03-24,Cobresal,2,U. De Chile,5
2011-03-20,Union La Calera,3,A. Italiano,1
2011-03-20,Colo Colo,1,Cobreloa,1
2011-03-20,Palestino,3,U. De Concepcion,2
2011-03-20,S. Wanderers,3,Cobresal,0
