date,team1,team2,winner
"Apr 20, 2013",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
"Apr 19, 2013",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
"Apr 18, 2013",Delhi Capitals,Chennai Super Kings,Chennai Super Kings
"Apr 17, 2013",Rajasthan Royals,Mumbai Indians,Rajasthan Royals
"Apr 17, 2013",Pune Warriors India,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 16, 2013",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore
"Apr 16, 2013",Punjab Kings,Kolkata Knight Riders,Punjab Kings
"Apr 15, 2013",Chennai Super Kings,Pune Warriors India,Pune Warriors India
"Apr 14, 2013",Rajasthan Royals,Punjab Kings,Rajasthan Royals
"Apr 14, 2013",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
"Apr 13, 2013",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
"Apr 13, 2013",Mumbai Indians,Pune Warriors India,Mumbai Indians
"Apr 12, 2013",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 11, 2013",Pune Warriors India,Rajasthan Royals,Pune Warriors India
"Apr 11, 2013",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
"Apr 10, 2013",Punjab Kings,Chennai Super Kings,Chennai Super Kings
"Apr 09, 2013",Mumbai Indians,Delhi Capitals,Mumbai Indians
"Apr 09, 2013",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
"Apr 08, 2013",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
"Apr 07, 2013",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
"Apr 07, 2013",Pune Warriors India,Punjab Kings,Punjab Kings
"Apr 06, 2013",Chennai Super Kings,Mumbai Indians,Mumbai Indians
"Apr 06, 2013",Delhi Capitals,Rajasthan Royals,Rajasthan Royals
"Apr 05, 2013",Sunrisers Hyderabad,Pune Warriors India,Sunrisers Hyderabad
"Apr 04, 2013",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
"Apr 03, 2013",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
